longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-118.32,33.82,22.0,2508.0,402.0,1254.0,395.0,7.0935,3.0
-121.31,38.66,27.0,1713.0,282.0,761.0,295.0,5.2081,0.0
-119.73,36.62,35.0,2080.0,365.0,1026.0,333.0,3.5781,0.0
-118.26,34.08,52.0,984.0,276.0,994.0,260.0,2.3816,3.0
-118.13,34.16,33.0,2682.0,716.0,2050.0,692.0,2.4817,3.0
-118.01,33.85,29.0,3061.0,612.0,2396.0,640.0,4.6326,3.0
-119.94,38.96,20.0,1451.0,386.0,467.0,255.0,1.5536,0.0
-118.24,33.98,45.0,173.0,42.0,230.0,57.0,3.0724,3.0
-118.15,34.59,33.0,2111.0,429.0,1067.0,397.0,3.7344,0.0
-118.25,33.93,38.0,180.0,43.0,246.0,56.0,2.85,3.0
-118.18,33.77,45.0,1434.0,627.0,735.0,518.0,1.5,2.0
-118.07,33.89,29.0,1138.0,217.0,964.0,222.0,4.537,3.0
-117.41,33.94,22.0,4179.0,1081.0,2096.0,1013.0,2.4435,0.0
-122.3,37.92,32.0,3943.0,605.0,1524.0,614.0,6.0677,1.0
-118.32,33.81,27.0,2113.0,380.0,1109.0,360.0,4.7062,3.0
-118.1,33.82,36.0,1946.0,346.0,871.0,336.0,5.2155,3.0
-118.38,34.19,42.0,1308.0,289.0,950.0,302.0,2.7379,3.0
-117.9,33.74,24.0,2932.0,955.0,5516.0,911.0,2.7535,3.0
-118.15,34.02,42.0,2729.0,725.0,3004.0,722.0,2.3438,3.0
-121.26,38.64,40.0,1098.0,175.0,415.0,160.0,4.8375,0.0
-120.17,39.32,14.0,2421.0,489.0,1000.0,354.0,3.5652,0.0
-117.11,34.43,14.0,3026.0,556.0,1349.0,485.0,2.8021,0.0
-117.91,33.71,16.0,3113.0,783.0,1719.0,715.0,3.6505,3.0
-117.18,32.84,32.0,1351.0,237.0,823.0,269.0,4.2768,2.0
-118.09,34.07,38.0,1036.0,226.0,1058.0,235.0,3.2578,3.0
-117.09,32.75,20.0,1701.0,503.0,1482.0,465.0,1.6789,2.0
-117.4,33.94,30.0,1198.0,251.0,1019.0,214.0,3.0509,0.0
-119.87,36.34,26.0,1414.0,265.0,779.0,249.0,2.9167,0.0
-122.42,37.93,47.0,3453.0,779.0,1353.0,728.0,4.016,1.0
-120.43,37.32,16.0,1170.0,178.0,566.0,181.0,5.2522,0.0
-122.12,37.94,22.0,4949.0,626.0,1850.0,590.0,10.4549,1.0
-118.38,34.21,35.0,1468.0,303.0,1295.0,300.0,3.7708,3.0
-117.35,33.69,11.0,1229.0,236.0,581.0,190.0,3.102,3.0
-121.24,38.79,23.0,1419.0,261.0,706.0,269.0,3.1875,0.0
-117.84,33.64,11.0,6840.0,1689.0,6083.0,1629.0,2.4132,3.0
-116.9,33.22,11.0,4132.0,773.0,2012.0,703.0,3.1906,3.0
-122.47,37.5,25.0,950.0,259.0,404.0,195.0,3.1937,2.0
-121.24,38.75,5.0,9137.0,1368.0,3667.0,1294.0,5.4896,0.0
-118.29,33.84,33.0,896.0,208.0,843.0,200.0,3.5,3.0
-119.02,35.38,48.0,346.0,92.0,129.0,63.0,1.1875,0.0
-121.04,39.24,48.0,1188.0,227.0,471.0,219.0,2.3125,0.0
