longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,distance_to_cluster_0,distance_to_cluster_1,distance_to_cluster_2,distance_to_cluster_3
-117.87,33.71,13.0,1087.0,340.0,817.0,342.0,3.5326,3.0,1.5954952866316652,3.4441128485903967,3.8997614869298025,11.153855686022794
-117.1,32.96,7.0,3619.0,770.0,1134.0,482.0,4.1279,3.0,2.2418453495896866,4.138912850672481,2.954003759688158,9.801420671280376
-118.31,34.05,40.0,1667.0,365.0,1161.0,384.0,3.1406,3.0,1.0049508005511945,3.01932841135584,3.874613509925906,11.014046339876003
-117.23,32.81,22.0,3205.0,429.0,1083.0,410.0,8.1844,2.0,2.4915269652124774,4.167460556035399,3.8907566337513777,10.565185069733468
-116.98,32.68,22.0,2346.0,380.0,1217.0,382.0,5.5248,2.0,1.3436980030091623,3.643191271917751,3.5575387196401627,10.63877290206604
-121.27,37.96,52.0,583.0,114.0,310.0,93.0,2.5625,0.0,3.879370098503799,2.3876466178270253,5.738709129479753,12.610070064189085
-121.59,39.86,14.0,1527.0,269.0,665.0,261.0,2.8657,0.0,4.0913164666005395,1.8219944805908637,4.761620969818248,11.578843315858087
-118.0,33.94,35.0,2603.0,482.0,1305.0,507.0,3.9543,3.0,0.7232324517215601,3.0814789271477534,3.2124353969589894,10.360671344400648
-117.17,32.81,26.0,788.0,127.0,346.0,125.0,5.0603,2.0,1.6351544200676158,3.6533006544426496,4.74937091110998,11.999081928929286
-116.97,32.83,17.0,6659.0,1402.0,3183.0,1378.0,2.949,3.0,4.680512793376094,5.90309411249747,2.316713268365215,6.442881299754169
-121.99,36.98,25.0,2113.0,422.0,1365.0,439.0,4.6484,2.0,2.5472879512779536,1.1539355656119932,3.387146006835796,10.55847743992233
-118.25,33.78,32.0,296.0,139.0,511.0,133.0,1.4444,2.0,1.890061420989151,3.181949106228484,4.850237347890028,12.114414389116146
-118.46,33.99,35.0,1214.0,300.0,478.0,265.0,4.0156,3.0,0.9934409979240678,2.9819507352193524,4.248286235390973,11.537359878299924
-118.02,34.13,33.0,2874.0,458.0,1239.0,431.0,5.2329,0.0,1.9695788015077855,2.7550862814147976,3.432601232897678,10.409002360118825
-121.39,38.64,33.0,1503.0,282.0,652.0,229.0,3.6937,0.0,3.416405832673479,1.0121501024236346,4.637016840440564,11.609627966875326
-116.5,33.98,5.0,4332.0,868.0,1420.0,567.0,4.0417,0.0,3.1973229432265686,4.0715133445045915,2.856693337410085,9.287626900646424
-120.51,39.52,26.0,2286.0,444.0,498.0,216.0,2.065,0.0,3.5649935419893684,1.3130082427540046,4.4411267496554485,11.332651327510847
-119.03,36.13,24.0,2259.0,408.0,1169.0,395.0,1.7106,0.0,2.510265840681454,2.012684024200447,3.61235881786876,10.68076762627766
-124.08,40.86,18.0,1287.0,484.0,805.0,502.0,1.1157,2.0,4.847121620693019,2.6579621420175705,5.076397760726952,11.42843572173559
