longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,distance_to_cluster_0,distance_to_cluster_1,distance_to_cluster_2,distance_to_cluster_3
-118.32,33.82,22.0,2508.0,402.0,1254.0,395.0,7.0935,3.0,3.5659283933352124,1.8730726029230587,8.551851282031567,3.12347509209502
-121.31,38.66,27.0,1713.0,282.0,761.0,295.0,5.2081,0.0,1.204367052875167,3.429510539937976,9.28930556243094,4.082137265971656
-119.73,36.62,35.0,2080.0,365.0,1026.0,333.0,3.5781,0.0,1.3403108945274338,2.4329239452275653,8.884951340935462,3.4344614924597314
-118.26,34.08,52.0,984.0,276.0,994.0,260.0,2.3816,3.0,3.5003178456402706,1.9836805612188313,9.746344214018766,4.32702443648832
-118.13,34.16,33.0,2682.0,716.0,2050.0,692.0,2.4817,3.0,3.3581465051683326,1.7643320866743804,7.487285862475865,2.1118933404755693
-118.01,33.85,29.0,3061.0,612.0,2396.0,640.0,4.6326,3.0,3.4529834766158634,1.6038519076959221,7.335123181105151,1.8458914847715115
-119.94,38.96,20.0,1451.0,386.0,467.0,255.0,1.5536,0.0,1.7444409517778867,3.5029300524381735,9.426921617525677,4.146643037275451
-118.24,33.98,45.0,173.0,42.0,230.0,57.0,3.0724,3.0,3.5806379257887397,2.054631325661062,10.59484727542312,4.89122088218988
-118.15,34.59,33.0,2111.0,429.0,1067.0,397.0,3.7344,0.0,2.409996971485698,1.8731481285744995,8.671413214734555,3.1334602561382323
-118.25,33.93,38.0,180.0,43.0,246.0,56.0,2.85,3.0,3.461543340034658,1.8510494848322432,10.48362788177892,4.701045695352115
-118.18,33.77,45.0,1434.0,627.0,735.0,518.0,1.5,2.0,3.1659467411675273,1.7744633979290951,8.868460926536127,3.4931011991786005
-118.07,33.89,29.0,1138.0,217.0,964.0,222.0,4.537,3.0,3.1473841820023627,0.8491006197491481,9.397119309571233,3.601986123403295
-117.41,33.94,22.0,4179.0,1081.0,2096.0,1013.0,2.4435,0.0,4.038067669801033,3.4700576124122633,6.198207375572439,1.8641642571794554
-122.3,37.92,32.0,3943.0,605.0,1524.0,614.0,6.0677,1.0,1.858541730112048,3.515587575398218,7.722786102086359,3.0649373760476597
-118.32,33.81,27.0,2113.0,380.0,1109.0,360.0,4.7062,3.0,3.051407545532946,0.7056263124977651,8.70416324044677,2.9462743662040984
-118.1,33.82,36.0,1946.0,346.0,871.0,336.0,5.2155,3.0,3.1885483499912795,0.8931873884912228,9.037098103862498,3.395561430309051
-118.38,34.19,42.0,1308.0,289.0,950.0,302.0,2.7379,3.0,3.0679929192033852,1.2526314768228342,9.379477593387984,3.7547488483890907
-117.9,33.74,24.0,2932.0,955.0,5516.0,911.0,2.7535,3.0,4.921229142511922,3.814649105586929,5.45523509320257,1.8975972532069487
-118.15,34.02,42.0,2729.0,725.0,3004.0,722.0,2.3438,3.0,3.7738980526792507,2.3843912991450757,7.26088930874391,2.4286932913811032
-121.26,38.64,40.0,1098.0,175.0,415.0,160.0,4.8375,0.0,1.5974468787104188,3.5577277946601815,10.02781900916022,4.769256706463444
-120.17,39.32,14.0,2421.0,489.0,1000.0,354.0,3.5652,0.0,1.603358318837662,3.539252593191064,8.63786587459242,3.5281351341521026
-117.11,34.43,14.0,3026.0,556.0,1349.0,485.0,2.8021,0.0,3.2381574776951254,2.54502658850746,8.038094487157963,2.699186166989236
-117.91,33.71,16.0,3113.0,783.0,1719.0,715.0,3.6505,3.0,3.662277816885689,2.019801365690534,7.225115175652972,1.7021889593420942
-117.18,32.84,32.0,1351.0,237.0,823.0,269.0,4.2768,2.0,3.4070919971752636,0.8921796869125747,9.379238984362182,3.652767534855677
-118.09,34.07,38.0,1036.0,226.0,1058.0,235.0,3.2578,3.0,3.11190516589795,1.0003674321188734,9.483865544180269,3.7669984584380627
-117.09,32.75,20.0,1701.0,503.0,1482.0,465.0,1.6789,2.0,3.6814037947670157,1.7458526183797838,8.485948930650306,2.9580254645630566
-117.4,33.94,30.0,1198.0,251.0,1019.0,214.0,3.0509,0.0,2.947712418461004,1.9928640369341613,9.396775066789534,3.7902912315982027
-119.87,36.34,26.0,1414.0,265.0,779.0,249.0,2.9167,0.0,1.5118715475761753,2.520310838194128,9.291086221443823,3.7044122004980227
-122.42,37.93,47.0,3453.0,779.0,1353.0,728.0,4.016,1.0,2.0028009631322994,3.663461310450722,7.82209498839737,3.3935536612018207
-120.43,37.32,16.0,1170.0,178.0,566.0,181.0,5.2522,0.0,1.9211810473601876,3.181747478877691,9.607417495469724,4.150073071898804
-122.12,37.94,22.0,4949.0,626.0,1850.0,590.0,10.4549,1.0,4.0452150170824694,4.923189478308902,7.875799459447493,4.239281899435351
-118.38,34.21,35.0,1468.0,303.0,1295.0,300.0,3.7708,3.0,2.8973517242965174,0.6478173023662304,9.037002425093872,3.2998457568646384
-117.35,33.69,11.0,1229.0,236.0,581.0,190.0,3.102,3.0,3.7425715000021778,1.925633594267046,9.548262833113466,3.8271437270164195
-121.24,38.79,23.0,1419.0,261.0,706.0,269.0,3.1875,0.0,1.1501093821708233,3.488001088259719,9.43284760467452,4.156225372813866
-117.84,33.64,11.0,6840.0,1689.0,6083.0,1629.0,2.4132,3.0,7.5884691501104635,6.941322338728314,2.873506124571077,4.3393975515783225
-116.9,33.22,11.0,4132.0,773.0,2012.0,703.0,3.1906,3.0,4.312573669915111,2.602090858860307,7.012890888751093,1.9386316520237137
-122.47,37.5,25.0,950.0,259.0,404.0,195.0,3.1937,2.0,1.3967986751585209,3.025812042499262,9.71536308667091,4.2127924712743505
-121.24,38.75,5.0,9137.0,1368.0,3667.0,1294.0,5.4896,0.0,5.812419796439344,6.682846536685121,4.073085934374126,3.9406456741010834
-118.29,33.84,33.0,896.0,208.0,843.0,200.0,3.5,3.0,3.107521963380164,0.9684947478981156,9.596911570829421,3.8057191529735013
-119.02,35.38,48.0,346.0,92.0,129.0,63.0,1.1875,0.0,3.071545845361816,3.2211089621247875,10.667478648498319,5.209655204706505
-121.04,39.24,48.0,1188.0,227.0,471.0,219.0,2.3125,0.0,1.9260983135461123,3.86268766574935,10.082255083056937,4.988801100383768
-122.24,37.43,36.0,2410.0,361.0,934.0,377.0,7.652,2.0,2.3501652404044364,3.3542907257354675,9.035961626821338,4.062060102150596
-122.53,37.95,22.0,7446.0,1979.0,2980.0,1888.0,3.5838,1.0,6.221287131624586,6.999343757408318,3.2539114338417416,4.233036078364442
-118.26,33.92,40.0,1076.0,244.0,705.0,255.0,1.7986,3.0,3.2785839275827033,1.5579510887518966,9.679113584318937,4.043718009547779
-117.08,34.02,20.0,3111.0,563.0,1453.0,538.0,3.3365,0.0,3.2047182732579684,2.304499877754904,7.898796975855322,2.5344916820172947
-118.48,34.19,36.0,2058.0,423.0,1132.0,423.0,3.8833,3.0,2.870794760699094,0.6808164116359274,8.66924971028036,2.9867571513139874
-121.46,38.64,20.0,1517.0,323.0,1287.0,328.0,1.6607,0.0,1.5371847772996574,3.6896169744648164,9.102318289513894,3.9951093813322394
-117.25,34.11,30.0,2173.0,560.0,1509.0,486.0,1.4079,0.0,3.172759398380214,2.4030442813453035,8.368172557709398,3.1091610374343825
-122.02,37.31,34.0,2629.0,433.0,1301.0,431.0,6.083,3.0,2.152882134831943,2.882768771737135,8.579512043644195,3.4717405322203656
-118.0,33.82,21.0,2253.0,580.0,1536.0,500.0,3.2326,3.0,3.2530806394906153,1.2490935486558752,8.058188557697097,2.3410008092915633
-117.66,34.08,33.0,3659.0,590.0,1773.0,615.0,3.9227,0.0,3.030137542008322,2.263145066651422,7.581228606554145,2.371935355678427
-122.99,39.02,14.0,1582.0,301.0,851.0,273.0,3.45,3.0,2.2880339358543162,3.789520577507249,9.397442418213084,4.280052684421761
-119.77,36.74,51.0,1454.0,235.0,729.0,252.0,3.3125,0.0,2.1420229631180234,2.976136350133103,9.727148590120592,4.460693608191458
-121.31,37.99,23.0,3135.0,707.0,1650.0,680.0,1.886,0.0,1.8650158780642825,3.6569432554140335,7.61955447645159,2.9052005828703207
-121.62,41.78,40.0,3272.0,663.0,1467.0,553.0,1.7885,0.0,2.2109288456425666,4.682046264880812,8.495071286061078,4.339326915635211
-118.42,34.06,52.0,1881.0,334.0,640.0,321.0,6.871,3.0,3.765661792027144,2.3099590949702407,9.557771756056539,4.348196551710226
-118.39,34.15,36.0,2696.0,713.0,905.0,659.0,3.1146,3.0,3.030555859540703,1.2060882824855659,7.983012297349891,2.4370398198767442
-121.42,37.75,33.0,1999.0,368.0,1061.0,390.0,3.5242,0.0,0.6949122970684749,3.1067658987624474,8.891087390873066,3.6707167959746028
-122.17,37.73,46.0,2163.0,470.0,925.0,435.0,3.25,1.0,1.2831920746875058,3.2130091466475954,8.955073162262783,3.9205548734099587
