Trail	Transformation	Accuracy	# of node in layer 1	# of node in layer 2	Regularization	train accuracy	train precision	train recall	train MSE	train R^2	Val_accuracy	Val_precision	val_recall	val_MSE	val_R^2
1	StandardScaler	0.3573	500	200	l1	0.3271	0.4247	0.3606	4.9607	0.6637	0.3558	0.4195	0.3558	5.3475	0.6369
2	StandardScaler	0.4244	500	200	l2	0.423	0.4632	0.4661	3.356	0.7725	0.4224	0.4149	0.4224	4.2183	0.7136
3	StandardScaler	0.349	500	250	l1	0.3287	0.4152	0.3527	5.1969	0.6477	0.3485	0.4088	0.3485	5.3896	0.6341
4	StandardScaler	0.4317	500	250	l2	0.4291	0.4672	0.472	3.3725	0.7714	0.4298	0.4238	0.4298	4.1527	0.7181
5	StandardScaler	0.3558	500	300	l1	0.329	0.4196	0.3555	5.1797	0.6489	0.3558	0.4196	0.3558	5.4347	0.631
6	StandardScaler	0.4312	500	300	l2	0.4392	0.4746	0.4815	3.332	0.7741	0.4268	0.4149	0.4268	4.2814	0.7093
7	StandardScaler	0.3651	550	200	l1	0.3246	0.4243	0.3602	4.975	0.6628	0_3532	0.4265	0.3632	5.325	0.6385
8	StandardScaler	0.4288	550	200	l2	0.4183	0.4637	0.4719	3.3258	0.7745	0.4298	0.4331	0.4298	4.2413	0.712
9	StandardScaler	0.3558	550	250	l1	0.3313	0.4222	0.3583	5.1927	0.648	0.3549	0.4176	0.3549	5.4234	0.6318
10	StandardScaler	0.4229	550	250	l2	0.4307	0.4666	0.4746	3.3828	0.7707	0.4214	0.4236	0.4214	4.2633	0.7106
11	StandardScaler	0.3475	550	300	l1	0.3308	0.4198	0.3563	5.0738	0.6561	0.349	0.4083	0.349	5.4459	0.6303
12	StandardScaler	0.4293	550	300	l2	0.4302	0.4572	0.4713	3.3928	0.77	0.4273	0.4211	0.4273	4.2888	0.7088
13	StandardScaler	0.3485	600	200	l1	0.3254	0.4169	0.3548	5.1198	0.6529	0.347	0.4079	0.4079	5.488	0.6274
14	StandardScaler	0.4356	600	200	l2	0.4368	0.4698	0.4786	3.2858	0.7773	0.4376	0.4117	0.4376	4.2095	0.7142
15	StandardScaler	0.3554	600	250	l1	0.3247	0.4198	0.3552	5.0401	0.6583	0.3549	0.4172	0.3549	5.5497	0.6232
16	StandardScaler	0.4278	600	250	l2	0.4304	0.4733	0.4769	3.2851	0.7773	0.4288	0.4122	0.4288	4.2364	0.7124
17	StandardScaler	0.3485	600	300	l1	0.3283	0.417	0.3548	5.0434	0.6581	0.349	0.4093	0.349	5.5536	0.623
18	StandardScaler	0.4249	600	300	l2	0.425	0.4566	0.4655	3.53	0.7607	0.418	0.4155	0.418	4.2903	0.7087
19	StandardScaler	0.3534	650	200	l1	0.3246	0.418	0.3565	5.0221	0.6596	0.3534	0.4131	0.3534	5.3872	0.6343
