Transformation,Alpha,Train Accuracy,Test Accuracy,Precision,Recall,Train MSE,Test MSE
No Transform,0.01,0.20181128380859137,0.20802741067058247,0.21924136675377334,0.20802741067058247,5.2505068351141935,5.4449606647359925
No Transform,0.1,0.20181128380859137,0.20802741067058247,0.21924136675377334,0.20802741067058247,5.250506837333505,5.444962115986121
No Transform,1.0,0.20181128380859137,0.20802741067058247,0.21924136675377334,0.20802741067058247,5.2505070588362415,5.444976803355727
No Transform,10.0,0.20119936360298618,0.20704845814977973,0.2185762156403739,0.20704845814977973,5.25052879007762,5.445140739974178
No Transform,100.0,0.19960837106841267,0.206069505628977,0.21750721261436404,0.206069505628977,5.252357480975152,5.448143590524889
No Transform,1000.0,0.19716069024599192,0.20411160058737152,0.21168128559466845,0.20411160058737152,5.319903117763886,5.5111726236077025
Polynomial Degree 2,0.01,0.2636152245747155,0.2471855115026921,0.2536642024518345,0.2471855115026921,3.9216478739178386,4.40274284792667
Polynomial Degree 2,0.1,0.25676171827193733,0.2471855115026921,0.2531849002017524,0.2471855115026921,3.955359751716084,4.324354404291142
Polynomial Degree 2,1.0,0.2552931097784849,0.2442486539402839,0.2506027031536073,0.2442486539402839,3.982478376788755,4.322044344111907
Polynomial Degree 2,10.0,0.2544364214906376,0.24522760646108663,0.2507418800267067,0.24522760646108663,4.005889414393848,4.359144842262222
Polynomial Degree 2,100.0,0.25321258107942723,0.24375917767988253,0.2489619896624506,0.24375917767988253,4.051546103907451,4.426882772837085
Polynomial Degree 2,1000.0,0.252478276832701,0.24473813020068527,0.25061228285494813,0.24473813020068527,4.100846897459477,4.477662614822029
Polynomial Degree 3,0.01,0.2940888508138539,0.28389623103279493,0.2880695554146602,0.28389623103279493,3.0421084632761697,11.417115147965896
Polynomial Degree 3,0.1,0.2940888508138539,0.27949094468918256,0.2834280066224663,0.27949094468918256,3.057895329539372,11.169656757821299
Polynomial Degree 3,1.0,0.291396401909191,0.27802251590797844,0.28250266989409917,0.27802251590797844,3.0774433051781234,10.580090746518591
Polynomial Degree 3,10.0,0.2902949455391017,0.2755751346059716,0.2793819662257379,0.2755751346059716,3.107826509327713,23.486630434876545
Polynomial Degree 3,100.0,0.28784726471668093,0.2711698482623593,0.2747976082412733,0.2711698482623593,3.158152343012638,19.037709577149727
Polynomial Degree 3,1000.0,0.2887039530045282,0.26823299069995105,0.27131330422644656,0.26823299069995105,3.2097566814264487,17.991207408665684
Log Transform,0.01,0.20670664545343287,0.22418012726382772,0.23498329529364262,0.22418012726382772,5.084236406782642,5.2549816387799115
Log Transform,0.1,0.20927671031697467,0.2256485560450318,0.23769643580681724,0.2256485560450318,5.181370737084427,5.336443896664134
Log Transform,1.0,0.16680944804797454,0.16984826235927558,0.18165172715233377,0.16984826235927558,6.48172266154402,6.5519593916343135
Log Transform,10.0,0.13486721331538368,0.1262848751835536,0.10491607329564291,0.1262848751835536,10.10553803695963,10.16689127812363
Log Transform,100.0,0.12997185167054215,0.13313754282917278,0.10680348467066536,0.13313754282917278,11.990718788843857,11.963654171419119
Log Transform,1000.0,0.11308285399583894,0.11355849241311797,0.06162995548838374,0.11355849241311797,13.57227082994283,13.513879733526272
PCA Transform,0.01,0.19361155305348182,0.1943220753793441,0.20095634885777058,0.1943220753793441,5.502467064081168,5.786790734215942
PCA Transform,0.1,0.19361155305348182,0.1943220753793441,0.20095634885777058,0.1943220753793441,5.502467064321996,5.786786348874561
PCA Transform,1.0,0.19361155305348182,0.19383259911894274,0.20065613853975886,0.19383259911894274,5.502467088396863,5.786742525056559
PCA Transform,10.0,0.19373393709460288,0.19383259911894274,0.20069110112978752,0.19383259911894274,5.502469487964968,5.786307236344478
PCA Transform,100.0,0.1934891690123608,0.19138521781693588,0.1989218711920104,0.19138521781693588,5.50270189159862,5.782239621519968
PCA Transform,1000.0,0.18969526373760862,0.19236417033773862,0.2003611943272254,0.19236417033773862,5.520823564544366,5.763396098132938
